         159182 function calls (157335 primitive calls) in 0.669 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4365/4226    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1080    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      172    0.001    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/typing_extensions.py:3424(_collect_type_vars)
     1457    0.001    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/__init__.py:1065(handle_data)
   107/20    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
    144/3    0.000    0.000    0.051    0.017 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    145/4    0.000    0.000    0.051    0.013 <frozen importlib._bootstrap>:1022(_find_and_load)
      140    0.000    0.000    0.003    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      133    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      801    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1820(is_empty_element)
      255    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      802    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     2742    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2771(descendants)
     1575    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1200    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
    133/3    0.000    0.000    0.051    0.017 <frozen importlib._bootstrap>:664(_load_unlocked)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.10/enum.py:180(__new__)
     2967    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     3147    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      137    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      128    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     1010    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
      128    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     3170    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1737(cast)
       10    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       89    0.000    0.000    0.005    0.000 /usr/lib/python3.10/dataclasses.py:412(_create_fn)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      172    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
      742    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
     1137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      522    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      802    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
      978    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
     1084    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      128    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       15    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1648    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       54    0.000    0.000    0.005    0.000 /usr/lib/python3.10/re.py:288(_compile)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
    128/3    0.000    0.000    0.051    0.017 <frozen importlib._bootstrap_external>:877(exec_module)
      749    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
   120/45    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
       57    0.000    0.000    0.001    0.000 /usr/lib/python3.10/dataclasses.py:722(_get_field)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    55/20    0.000    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
      558    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      599    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
      801    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
     2435    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:433(_uniq)
      901    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  133/131    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        2    0.000    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      293    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1902(get_origin)
      135    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:663(_is_type)
      581    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      728    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:122(unescape)
       44    0.000    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:483(Union)
       66    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       27    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      813    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       66    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:296(_class_escape)
       37    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1323(__class_getitem__)
       20    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_connection.py:272(_process_event)
        6    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_connection.py:544(send_with_data_passthrough)
       74    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:89(__setitem__)
        6    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_receivebuffer.py:104(maybe_extract_lines)
      171    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1881(_all_strings)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      272    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        6    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/h11/_headers.py:152(normalize_and_validate)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1350(__init_subclass__)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       57    0.000    0.000    0.000    0.000 /usr/lib/python3.10/contextlib.py:139(__exit__)
       14    0.000    0.000    0.243    0.017 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.10/functools.py:35(update_wrapper)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
    80/51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/httpcore/_trace.py:12(__init__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
       57    0.000    0.000    0.000    0.000 /usr/lib/python3.10/contextlib.py:102(__init__)
