         98025 function calls (97931 primitive calls) in 0.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      802    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
      485    0.000    0.000    0.001    0.000 /usr/lib/python3.10/os.py:698(__iter__)
     1543    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:473(urlsplit)
      488    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:759(decode)
      728    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:122(unescape)
      801    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
      742    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
      485    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_collections_abc.py:885(__iter__)
        5    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
       10    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:355(putheader)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.281    0.281 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:669(connect)
      820    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      667    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/urllib/parse.py:380(urlparse)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:546(urlunsplit)
       40    0.000    0.000    0.002    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
       13    0.000    0.000    0.239    0.018 /usr/lib/python3.10/ssl.py:1150(read)
      891    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:1239(putheader)
       50    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
      574    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      841    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:471(_parse_headers)
      801    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:2227(__bool__)
        2    0.000    0.000    0.241    0.120 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:485(getresponse)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      171    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/element.py:1881(_all_strings)
       82    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:91(_replace_charref)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/feedparser.py:218(_parsegen)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
       40    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
        2    0.000    0.000    0.001    0.001 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:369(request)
