         97985 function calls (97891 primitive calls) in 5.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.845    5.845 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/./financial.py:9(get_field_data)
     3147    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
     3144    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1737(cast)
      485    0.000    0.000    0.001    0.000 /usr/lib/python3.10/os.py:698(__iter__)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:473(urlsplit)
      978    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      488    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:759(decode)
       18    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/filter.py:378(__init__)
     1648    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:471(_parse_headers)
      802    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     1541    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/socket.py:514(family)
      728    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/__init__.py:122(unescape)
      485    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_collections_abc.py:885(__iter__)
        5    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
      667    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/message.py:462(get)
      742    0.000    0.000    0.000    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
